from,to,relation,time,duration,timespan
IsrWei,LuiWei,6,99,6,1
IsrWei,LuiWei,6,99,6,2
IsrWei,LuiWei,6,99,6,3
IsrWei,LuiWei,6,99,6,4
IsrWei,LydWei,1,1899,7,1
IsrWei,LydWei,1,1899,7,2
IsrWei,LydWei,1,1899,7,3
IsrWei,LydWei,1,1899,7,4
IsrWei,ClaWei,1,1902,7,1
IsrWei,ClaWei,1,1902,7,2
IsrWei,ClaWei,1,1902,7,3
IsrWei,OlgWei,1,1905,7,1
IsrWei,OlgWei,1,1905,7,2
IsrWei,OlgWei,1,1905,7,3
IsrWei,OlgWei,1,1905,7,4
IsrWei,DavWei,1,1908,7,1
IsrWei,DavWei,1,1908,7,2
IsrWei,DavWei,1,1908,7,3
IsrWei,DavWei,1,1908,7,4
IsrWei,PauWei,1,1910,7,1
IsrWei,PauWei,1,1910,7,2
IsrWei,PauWei,1,1910,7,3
IsrWei,FanWei,1,1911,7,1
IsrWei,FanWei,1,1911,7,2
IsrWei,FanWei,1,1911,7,3
IsrWei,FanWei,1,1911,7,4
IsrWei,SieWei,1,1914,7,1
IsrWei,SieWei,1,1914,7,2
IsrWei,SieWei,1,1914,7,3
IsrWei,HelWei,1,1915,7,1
IsrWei,HelWei,1,1915,7,2
IsrWei,HelWei,1,1915,7,3
IsrWei,HelWei,1,1915,7,4
IsrWei,JulWei,1,1919,7,1
IsrWei,JulWei,1,1919,7,2
IsrWei,JulWei,1,1919,7,3
IsrWei,EriWin,1,99,7,99
LuiWei,IsrWei,6,99,6,1
LuiWei,IsrWei,6,99,6,2
LuiWei,IsrWei,6,99,6,3
LuiWei,IsrWei,6,99,6,4
LuiWei,LydWei,1,1899,7,1
LuiWei,LydWei,1,1899,7,2
LuiWei,LydWei,1,1899,7,3
LuiWei,LydWei,1,1899,7,4
LuiWei,ClaWei,1,1902,7,1
LuiWei,ClaWei,1,1902,7,2
LuiWei,ClaWei,1,1902,7,3
LuiWei,OlgWei,1,1905,7,1
LuiWei,OlgWei,1,1905,7,2
LuiWei,OlgWei,1,1905,7,3
LuiWei,OlgWei,1,1905,7,4
LuiWei,DavWei,1,1908,7,1
LuiWei,DavWei,1,1908,7,2
LuiWei,DavWei,1,1908,7,3
LuiWei,DavWei,1,1908,7,4
LuiWei,PauWei,1,1910,7,1
LuiWei,PauWei,1,1910,7,2
LuiWei,PauWei,1,1910,7,3
LuiWei,FanWei,1,1911,7,1
LuiWei,FanWei,1,1911,7,2
LuiWei,FanWei,1,1911,7,3
LuiWei,FanWei,1,1911,7,4
LuiWei,SieWei,1,1914,7,1
LuiWei,SieWei,1,1914,7,2
LuiWei,SieWei,1,1914,7,3
LuiWei,HelWei,1,1915,7,1
LuiWei,HelWei,1,1915,7,2
LuiWei,HelWei,1,1915,7,3
LuiWei,HelWei,1,1915,7,4
LuiWei,JulWei,1,1919,7,1
LuiWei,JulWei,1,1919,7,2
LuiWei,JulWei,1,1919,7,3
LuiWei,EriWin,1,99,7,99
LydWei,IsrWei,1,1899,7,1
LydWei,IsrWei,1,1899,7,2
LydWei,IsrWei,1,1899,7,3
LydWei,LuiWei,1,1899,7,1
LydWei,LuiWei,1,1899,7,2
LydWei,LuiWei,1,1899,7,3
LydWei,ClaWei,1,1902,7,1
LydWei,ClaWei,1,1902,7,2
LydWei,ClaWei,1,1902,7,3
LydWei,OlgWei,1,1905,7,1
LydWei,OlgWei,1,1905,7,2
LydWei,OlgWei,1,1905,7,3
LydWei,OlgWei,1,1905,7,4
LydWei,DavWei,1,1908,7,1
LydWei,DavWei,1,1908,7,2
LydWei,DavWei,1,1908,7,3
LydWei,DavWei,1,1908,7,4
LydWei,PauWei,1,1910,7,1
LydWei,PauWei,1,1910,7,2
LydWei,PauWei,1,1910,7,3
LydWei,FanWei,1,1911,7,1
LydWei,FanWei,1,1911,7,2
LydWei,FanWei,1,1911,7,3
LydWei,FanWei,1,1911,7,4
LydWei,SieWei,1,1914,7,1
LydWei,SieWei,1,1914,7,2
LydWei,SieWei,1,1914,7,3
LydWei,HelWei,1,1915,7,1
LydWei,HelWei,1,1915,7,2
LydWei,HelWei,1,1915,7,3
LydWei,HelWei,1,1915,7,4
LydWei,JulWei,1,1919,7,1
LydWei,JulWei,1,1919,7,2
LydWei,JulWei,1,1919,7,3
LydWei,EriWin,1,99,7,99
ClaWei,IsrWei,1,1902,7,1
ClaWei,IsrWei,1,1902,7,2
